,5rme_A_fpocket,5rme_B_fpocket,5rme_A_p2rank,5rme_B_p2rank,IoU
1558,8,7,4,13,0.00568
1021,5,7,4,13,0.00568
1555,8,7,3,3,0.00568
2689,18,8,2,2,0.00568
2398,14,21,2,10,0.00568
2017,11,23,2,6,0.00568
1587,8,10,1,1,0.00565
2403,14,24,8,13,0.00565
3251,28,8,3,3,0.00565
2194,13,10,1,1,0.00565
1100,5,24,8,13,0.00565
3196,27,6,4,6,0.00565
203,1,19,4,11,0.00565
1648,8,18,1,3,0.00565
2750,19,5,4,11,0.00565
1213,6,8,4,3,0.00565
445,2,18,1,11,0.00565
1851,10,13,1,1,0.00562
1603,8,11,1,1,0.00562
1299,6,26,3,3,0.00562
2749,19,5,4,3,0.00562
3024,24,14,2,10,0.00562
1897,10,24,2,3,0.00562
296,2,2,5,2,0.00562
202,1,19,4,3,0.00562
3301,29,5,2,5,0.00562
1666,8,25,4,3,0.00562
1904,10,25,2,3,0.005585
450,2,18,4,11,0.005585
2583,17,6,2,10,0.005585
851,4,5,6,4,0.005585
1964,11,8,2,6,0.005585
2748,19,5,3,3,0.005585
2827,21,6,12,16,0.005585
197,1,18,3,2,0.005585
3066,24,27,2,2,0.005585
3300,29,5,2,2,0.005585
1292,6,25,3,2,0.005585
3021,24,13,2,2,0.005554
1339,7,4,6,4,0.005554
1337,7,4,1,1,0.005554
2883,21,25,3,3,0.005554
150,1,10,5,3,0.005554
1069,5,16,2,5,0.005554
578,3,3,5,2,0.005554
2921,23,4,1,1,0.005554
1110,5,26,2,10,0.005554
2874,21,24,2,3,0.005554
2504,15,24,2,3,0.005554
1111,5,26,3,2,0.005554
1658,8,23,2,6,0.005554
2936,23,8,6,2,0.005554
2859,21,18,2,3,0.005524
807,3,32,6,7,0.005524
3110,26,8,3,3,0.005524
2720,18,24,2,3,0.005524
1844,10,11,1,1,0.005524
1068,5,16,2,2,0.005524
1076,5,18,2,2,0.005524
2688,18,8,1,1,0.005524
1078,5,18,3,2,0.005524
393,2,10,1,1,0.005524
1085,5,21,2,2,0.005524
405,2,10,4,13,0.005524
1108,5,26,2,2,0.005524
255,1,29,11,6,0.005524
911,4,23,6,4,0.005524
1532,8,6,1,11,0.005524
2409,14,27,2,3,0.005524
1089,5,21,3,2,0.005493
453,2,19,3,3,0.005493
1531,8,6,1,3,0.005493
2467,15,8,2,2,0.005493
2831,21,8,7,9,0.005493
2683,18,6,2,3,0.005493
2460,15,6,2,3,0.005493
1287,6,24,7,9,0.005493
2168,13,6,2,2,0.005493
2849,21,15,2,3,0.005493
406,2,10,5,2,0.005493
927,4,27,1,1,0.005493
504,2,28,4,11,0.005493
1064,5,15,3,2,0.005463
1062,5,15,2,2,0.005463
1270,6,18,2,3,0.005463
1275,6,21,2,3,0.005463
2578,17,4,2,5,0.005463
417,2,12,6,7,0.005463
204,1,19,11,15,0.005463
849,4,5,3,2,0.005463
1420,7,24,2,2,0.005463
2349,14,8,5,6,0.005463
283,2,2,1,11,0.005463
2255,13,24,2,2,0.005463
3035,24,18,2,3,0.005463
408,2,10,6,2,0.005436
185,1,16,3,2,0.005436
3205,27,8,4,6,0.005436
585,3,3,11,6,0.005436
1800,10,6,5,2,0.005436
3242,28,5,4,11,0.005436
1077,5,18,2,3,0.005436
3026,24,15,2,3,0.005436
1109,5,26,2,3,0.005405
15,1,1,5,3,0.005405
2681,18,5,4,11,0.005405
1962,11,8,1,1,0.005405
149,1,10,5,2,0.005405
3206,27,8,4,11,0.005405
895,4,18,2,2,0.005405
232,1,26,4,3,0.005405
241,1,27,4,2,0.005405
1973,11,10,1,1,0.005405
1289,6,24,8,13,0.005405
2352,14,8,8,13,0.005405
295,2,2,4,13,0.005405
298,2,2,6,2,0.005405
1795,10,6,2,10,0.005405
1801,10,6,5,6,0.005405
505,2,29,2,2,0.005405
2882,21,25,3,2,0.005375
579,3,3,5,3,0.005375
3059,24,25,3,3,0.005375
3004,24,7,2,2,0.005375
152,1,10,8,12,0.005375
1794,10,6,2,6,0.005375
180,1,15,5,6,0.005375
2826,21,6,7,9,0.005375
1705,9,4,2,10,0.005375
1086,5,21,2,3,0.005375
898,4,18,3,3,0.00535
196,1,18,2,3,0.00535
2825,21,6,3,3,0.00535
846,4,5,2,3,0.00535
1664,8,25,2,2,0.00535
170,1,14,5,6,0.00535
2350,14,8,5,15,0.00535
322,2,4,1,11,0.00535
576,3,3,4,11,0.00535
3019,24,11,2,2,0.00535
2458,15,5,8,12,0.00535
193,1,18,1,3,0.00535
1554,8,7,2,6,0.00535
924,4,26,2,10,0.00535
194,1,18,1,11,0.00535
3209,27,8,8,13,0.00535
2061,12,5,5,6,0.005318
1811,10,8,1,1,0.005318
168,1,14,3,3,0.005318
805,3,29,11,6,0.005318
169,1,14,4,3,0.005318
2923,23,4,6,4,0.005318
2935,23,8,2,7,0.005318
3208,27,8,8,12,0.005318
1063,5,15,2,3,0.005318
1009,5,6,4,2,0.005318
3241,28,5,4,3,0.005318
922,4,26,2,2,0.005318
901,4,21,2,2,0.005318
3191,27,5,4,11,0.005318
113,1,7,4,13,0.005318
897,4,18,3,2,0.005318
503,2,28,3,3,0.005318
114,1,7,5,6,0.005318
1096,5,24,3,2,0.005318
859,4,7,6,4,0.005318
447,2,18,2,3,0.005318
2404,14,25,2,2,0.00529
2880,21,25,2,2,0.00529
2672,18,4,2,2,0.00529
2680,18,5,4,3,0.00529
444,2,18,1,3,0.00529
20,1,1,11,6,0.00529
1342,7,5,6,4,0.00529
370,2,7,6,2,0.00529
1053,5,13,5,6,0.00529
1775,10,4,1,1,0.00529
1297,6,26,2,3,0.00529
926,4,26,3,3,0.00529
925,4,26,3,2,0.00529
1285,6,24,3,2,0.00529
577,3,3,4,13,0.00529
3058,24,25,3,2,0.00529
2821,21,6,2,2,0.00529
5,1,1,2,5,0.005264
876,4,11,6,4,0.005264
14,1,1,5,2,0.005264
1661,8,24,3,3,0.005264
192,1,18,1,1,0.005264
2401,14,24,2,10,0.005264
1553,8,7,1,11,0.005264
2581,17,5,2,5,0.005234
1054,5,13,8,12,0.005234
1551,8,7,1,1,0.005234
507,2,29,6,7,0.005234
2824,21,6,3,2,0.005234
171,1,14,5,15,0.005234
1662,8,24,4,3,0.005234
1007,5,6,3,2,0.005234
2346,14,8,3,2,0.005234
492,2,27,1,11,0.005234
906,4,21,3,3,0.005234
693,3,12,11,6,0.005207
3190,27,5,4,6,0.005207
987,5,4,3,3,0.005207
1014,5,6,5,3,0.005207
2060,12,4,6,7,0.005207
470,2,23,6,2,0.005207
931,4,27,2,10,0.005207
2536,16,5,8,12,0.005207
1106,5,25,4,11,0.005207
183,1,16,2,3,0.005207
140,1,10,2,5,0.005207
905,4,21,3,2,0.005207
565,3,3,1,11,0.005207
1093,5,24,2,3,0.005207
2674,18,4,3,2,0.005207
1284,6,24,2,5,0.00518
2675,18,4,3,3,0.00518
499,2,27,4,2,0.00518
2823,21,6,2,5,0.00518
209,1,21,4,3,0.00518
501,2,27,4,11,0.00518
502,2,27,4,13,0.00518
2348,14,8,4,3,0.00518
358,2,7,1,1,0.00518
360,2,7,1,4,0.00518
2347,14,8,3,3,0.00518
1707,9,5,2,10,0.00518
361,2,7,1,11,0.00518
1107,5,25,8,12,0.00518
3056,24,25,2,2,0.00518
2927,23,6,2,2,0.005154
3008,24,8,6,7,0.005154
1663,8,24,8,12,0.005154
2164,13,4,1,1,0.005154
584,3,3,8,13,0.005154
1948,11,6,2,2,0.005154
167,1,14,3,2,0.005154
933,4,27,3,3,0.005154
226,1,25,5,6,0.005154
225,1,25,4,11,0.005154
2661,18,2,3,2,0.005154
224,1,25,4,3,0.005127
590,3,4,1,11,0.005127
496,2,27,2,10,0.005127
2345,14,8,2,5,0.005127
2664,18,2,4,11,0.005127
184,1,16,2,5,0.005127
1552,8,7,1,3,0.005127
2023,11,24,2,2,0.005127
1286,6,24,3,3,0.005127
469,2,23,5,6,0.0051
2926,23,5,6,4,0.0051
1105,5,25,4,3,0.0051
3003,24,6,7,9,0.0051
891,4,16,3,3,0.0051
2822,21,6,2,3,0.0051
234,1,27,1,3,0.0051
163,1,13,11,6,0.0051
191,1,17,11,15,0.0051
235,1,27,1,11,0.0051
238,1,27,2,5,0.0051
597,3,4,4,3,0.005077
103,1,6,5,3,0.005077
1945,11,4,6,4,0.005077
1944,11,4,1,1,0.005077
889,4,16,2,5,0.005077
388,2,8,6,2,0.005077
2455,15,5,3,2,0.005077
2453,15,5,2,2,0.005077
366,2,7,4,3,0.005077
386,2,8,5,2,0.005077
799,3,29,2,2,0.00505
130,1,8,5,3,0.00505
2663,18,2,4,3,0.00505
1479,8,2,5,2,0.00505
800,3,29,2,5,0.00505
2657,18,1,4,11,0.00505
948,5,1,5,3,0.00505
1291,6,25,2,3,0.005024
886,4,15,3,3,0.005024
233,1,27,1,1,0.005024
369,2,7,5,6,0.005024
1788,10,5,4,2,0.005024
1790,10,5,4,11,0.005024
487,2,26,3,2,0.005024
429,2,14,3,2,0.005024
365,2,7,3,3,0.005024
467,2,23,2,6,0.005024
2924,23,5,1,1,0.005024
2678,18,5,3,2,0.005024
2676,18,5,2,2,0.005024
2344,14,8,2,3,0.005024
2656,18,1,4,3,0.005024
804,3,29,6,7,0.005
890,4,16,3,2,0.005
433,2,15,3,2,0.005
166,1,14,2,3,0.005
230,1,26,3,2,0.005
932,4,27,3,2,0.005
423,2,13,6,2,0.005
1789,10,5,4,3,0.005
3072,25,5,4,11,0.005
883,4,15,2,2,0.005
1786,10,5,3,2,0.005
439,2,16,3,2,0.004974
422,2,13,5,6,0.004974
2739,19,1,4,11,0.004974
1787,10,5,3,3,0.004974
2743,19,2,4,11,0.004974
885,4,15,3,2,0.004974
368,2,7,4,13,0.004974
3002,24,6,3,3,0.004974
3102,26,5,4,3,0.004974
1485,8,2,11,6,0.004974
3231,28,1,4,11,0.004974
484,2,26,2,2,0.004974
329,2,4,4,3,0.004974
441,2,16,4,11,0.004974
102,1,6,5,2,0.004974
3100,26,4,6,7,0.004974
359,2,7,1,3,0.004974
415,2,11,6,2,0.004974
3229,28,1,3,3,0.00495
455,2,21,2,2,0.00495
1283,6,24,2,3,0.00495
374,2,8,1,11,0.00495
2660,18,2,2,3,0.00495
2454,15,5,2,3,0.00495
2452,15,4,3,3,0.00495
2738,19,1,4,3,0.00495
3230,28,1,4,3,0.00495
418,2,13,1,1,0.00495
896,4,18,2,3,0.00495
1480,8,2,5,3,0.00495
135,1,8,11,6,0.00495
1660,8,24,2,2,0.00495
363,2,7,2,6,0.00495
177,1,15,3,2,0.00495
489,2,26,6,7,0.004925
2677,18,5,2,3,0.004925
986,5,4,3,2,0.004925
3001,24,6,3,2,0.004925
459,2,21,3,2,0.004925
943,5,1,4,2,0.004925
941,5,1,3,2,0.004925
1467,8,2,1,11,0.004925
486,2,26,2,10,0.004925
458,2,21,2,10,0.004925
2449,15,4,2,2,0.004925
3295,29,3,2,5,0.004925
3294,29,3,2,2,0.004925
438,2,16,2,5,0.004925
692,3,12,6,7,0.004925
219,1,24,8,13,0.0049
2742,19,2,4,3,0.0049
2809,21,4,2,2,0.0049
430,2,14,3,3,0.0049
134,1,8,8,13,0.0049
2166,13,5,5,6,0.0049
917,4,24,3,3,0.0049
1501,8,3,5,2,0.0049
2330,14,5,5,6,0.0049
2329,14,5,4,3,0.0049
457,2,21,2,5,0.0049
2451,15,4,3,2,0.0049
983,5,4,2,3,0.0049
2654,18,1,3,2,0.0049
2653,18,1,2,3,0.00488
2673,18,4,2,3,0.00488
1031,5,8,5,3,0.00488
420,2,13,2,6,0.00488
923,4,26,2,3,0.00488
94,1,6,2,6,0.00488
1101,5,25,2,2,0.00488
461,2,21,6,7,0.00488
1103,5,25,3,2,0.00488
881,4,14,3,2,0.00488
3000,24,6,2,5,0.004856
796,3,28,3,3,0.004856
129,1,8,5,2,0.004856
916,4,24,3,2,0.004856
902,4,21,2,3,0.004856
385,2,8,4,13,0.004856
682,3,10,5,3,0.004856
882,4,14,3,3,0.004856
1947,11,5,6,4,0.004856
410,2,11,1,1,0.004856
426,2,14,2,3,0.004856
741,3,18,4,3,0.004856
736,3,18,1,11,0.004856
2167,13,5,8,12,0.004856
1756,10,2,5,2,0.004856
2881,21,25,2,3,0.00483
1771,10,3,5,2,0.00483
228,1,26,2,2,0.00483
929,4,27,2,3,0.00483
229,1,26,2,3,0.00483
739,3,18,3,2,0.00483
2740,19,1,11,15,0.00483
681,3,10,5,2,0.00483
1755,10,2,4,11,0.00483
733,3,17,11,15,0.00483
435,2,15,5,6,0.004807
109,1,7,2,6,0.004807
1507,8,3,11,6,0.004807
1511,8,4,1,11,0.004807
2999,24,6,2,3,0.004807
2151,13,2,11,6,0.004807
437,2,16,2,3,0.004807
207,1,21,3,2,0.004807
137,1,9,2,2,0.004807
315,2,3,5,2,0.004807
1026,5,8,4,2,0.004807
737,3,18,2,2,0.004807
432,2,15,2,3,0.004784
1023,5,8,2,3,0.004784
1502,8,3,5,3,0.004784
2990,24,4,3,2,0.004784
314,2,3,4,11,0.004784
798,3,28,8,13,0.004784
93,1,6,2,5,0.004784
2668,18,3,3,2,0.004784
2814,21,4,3,3,0.004784
2813,21,4,3,2,0.004784
1527,8,5,5,3,0.004784
680,3,10,4,13,0.00476
553,3,2,5,2,0.00476
222,1,25,3,2,0.00476
728,3,16,5,6,0.00476
3057,24,25,2,3,0.00476
1,1,1,1,3,0.00476
2996,24,5,3,2,0.00476
1102,5,25,2,3,0.00476
1186,6,5,3,3,0.00476
2148,13,2,6,2,0.00476
460,2,21,3,3,0.00476
1499,8,3,4,11,0.00476
2,1,1,1,11,0.00476
176,1,15,2,3,0.00476
485,2,26,2,3,0.004738
732,3,17,6,7,0.004738
108,1,7,1,11,0.004738
107,1,7,1,3,0.004738
1034,5,8,8,13,0.004738
414,2,11,5,6,0.004738
1187,6,5,5,6,0.004738
1744,10,2,1,1,0.004738
1484,8,2,8,13,0.004738
2991,24,4,3,3,0.004738
3173,27,1,4,6,0.004738
3174,27,1,4,11,0.004738
551,3,2,4,11,0.004738
669,3,10,1,1,0.00472
1500,8,3,4,13,0.00472
888,4,16,2,3,0.00472
2440,15,2,5,6,0.00472
456,2,21,2,3,0.00472
2746,19,3,4,3,0.00472
735,3,18,1,3,0.00472
2053,12,2,11,6,0.00472
2437,15,2,3,2,0.00472
2815,21,5,2,2,0.00472
1458,8,1,5,3,0.00472
2144,13,2,2,6,0.00472
730,3,17,2,5,0.004696
560,3,2,11,6,0.004696
664,3,8,11,6,0.004696
0,1,1,1,1,0.004696
215,1,24,3,2,0.004696
1185,6,5,3,2,0.004696
1760,10,3,1,1,0.004696
303,2,3,1,11,0.004696
2575,17,3,2,5,0.004696
2819,21,5,3,2,0.004696
355,2,6,4,13,0.004696
206,1,21,2,3,0.004696
205,1,21,2,2,0.004696
2142,13,2,1,1,0.004696
1516,8,4,3,3,0.004696
1515,8,4,3,2,0.004696
1758,10,2,6,2,0.004696
1522,8,5,4,2,0.004673
1517,8,4,4,3,0.004673
2155,13,3,2,6,0.004673
1703,9,3,2,10,0.004673
412,2,11,2,6,0.004673
884,4,15,2,3,0.004673
729,3,16,8,12,0.004673
2450,15,4,2,3,0.004673
554,3,2,5,3,0.004673
2162,13,3,11,6,0.004673
684,3,10,6,7,0.004673
657,3,8,5,2,0.004673
2993,24,5,2,3,0.004673
2150,13,2,8,12,0.004673
1530,8,5,8,13,0.00465
3290,29,1,2,5,0.00465
2058,12,3,11,6,0.00465
710,3,14,5,6,0.00465
540,3,2,1,11,0.00465
701,3,13,11,6,0.00465
1773,10,3,6,2,0.00465
2667,18,3,2,3,0.00465
1742,10,1,5,2,0.00465
1741,10,1,4,11,0.00465
344,2,6,1,11,0.00465
738,3,18,2,3,0.00465
720,3,15,5,6,0.00465
2670,18,3,4,3,0.00465
2433,15,1,5,6,0.00465
685,3,10,8,12,0.00465
159,1,13,2,6,0.00465
611,3,5,4,13,0.00465
612,3,5,5,3,0.00465
1489,8,3,1,11,0.00465
973,5,3,4,2,0.00463
658,3,8,5,3,0.00463
978,5,3,5,3,0.00463
317,2,3,6,2,0.00463
971,5,3,3,2,0.00463
878,4,14,2,3,0.00463
655,3,8,4,11,0.00463
3289,29,1,2,2,0.00463
1519,8,5,2,3,0.00463
977,5,3,4,13,0.00463
2447,15,3,5,6,0.00463
2444,15,3,3,2,0.00463
3292,29,2,2,2,0.00463
356,2,6,5,2,0.00463
779,3,26,4,3,0.00461
610,3,5,4,11,0.00461
2159,13,3,6,2,0.00461
2816,21,5,2,3,0.00461
120,1,8,2,5,0.00461
913,4,24,2,3,0.00461
1457,8,1,5,2,0.00461
713,3,14,8,13,0.00461
552,3,2,4,13,0.00461
1463,8,1,11,6,0.00461
154,1,11,5,6,0.00461
918,4,25,2,2,0.00461
866,4,8,6,4,0.00461
357,2,6,5,6,0.00461
1506,8,3,8,13,0.00461
481,2,25,3,2,0.00461
2048,12,1,11,6,0.004585
1462,8,1,8,13,0.004585
976,5,3,4,11,0.004585
3235,28,2,4,11,0.004585
777,3,26,3,2,0.004585
711,3,14,5,15,0.004585
348,2,6,2,6,0.004585
221,1,25,2,3,0.004585
2436,15,2,2,3,0.004585
1182,6,5,2,3,0.004585
214,1,24,2,3,0.004585
2052,12,2,6,7,0.004585
2524,16,1,5,6,0.004585
725,3,16,3,2,0.004566
860,4,8,1,1,0.004566
483,2,25,4,11,0.004566
656,3,8,4,13,0.004566
708,3,14,3,3,0.004566
1325,7,2,5,6,0.004566
774,3,26,2,2,0.004566
776,3,26,2,10,0.004566
780,3,26,6,7,0.004566
2441,15,2,8,12,0.004566
1326,7,2,6,2,0.004566
3234,28,2,3,3,0.004566
342,2,5,4,13,0.004566
339,2,5,4,2,0.004566
707,3,14,3,2,0.004547
724,3,16,2,5,0.004547
2443,15,3,2,3,0.004547
2153,13,3,1,1,0.004547
116,1,8,1,3,0.004547
1513,8,4,2,3,0.004547
2161,13,3,8,12,0.004547
645,3,8,1,11,0.004547
792,3,27,4,6,0.004547
793,3,27,4,13,0.004547
709,3,14,4,3,0.004547
117,1,8,1,11,0.004547
695,3,13,1,1,0.004524
115,1,8,1,1,0.004524
343,2,6,1,3,0.004524
700,3,13,8,12,0.004524
211,1,23,2,6,0.004524
2528,16,2,5,6,0.004524
337,2,5,3,2,0.004524
338,2,5,3,3,0.004524
696,3,13,2,6,0.004524
750,3,21,3,2,0.004524
920,4,25,3,2,0.004524
2324,14,4,3,2,0.004524
2300,14,2,3,2,0.004524
2987,24,4,2,3,0.004524
721,3,15,8,12,0.004524
2430,15,1,3,2,0.004524
2810,21,4,2,3,0.004524
2303,14,2,5,6,0.004524
2291,14,1,5,6,0.004524
2289,14,1,3,3,0.004505
210,1,23,2,2,0.004505
2057,12,3,6,7,0.004505
1335,7,3,6,2,0.004505
2429,15,1,2,3,0.004505
1334,7,3,5,6,0.004505
1332,7,3,2,6,0.004505
615,3,5,8,13,0.004505
476,2,24,3,2,0.004505
921,4,25,3,3,0.004505
2290,14,1,4,3,0.004505
2325,14,4,3,3,0.004505
89,1,6,1,3,0.004505
746,3,21,2,2,0.004505
90,1,6,1,11,0.004505
37,1,2,5,3,0.004486
2306,14,2,8,13,0.004486
1321,7,2,1,4,0.004486
1323,7,2,2,6,0.004486
1327,7,2,6,4,0.004486
981,5,3,8,13,0.004486
559,3,2,8,13,0.004486
36,1,2,5,2,0.004486
2448,15,3,8,12,0.004486
475,2,24,2,10,0.004486
723,3,16,2,3,0.004486
2983,24,3,3,2,0.004486
754,3,23,1,1,0.004486
663,3,8,8,13,0.004486
717,3,15,3,2,0.004486
1320,7,2,1,1,0.004486
795,3,27,8,13,0.004463
2532,16,3,5,6,0.004463
605,3,5,3,2,0.004463
607,3,5,4,2,0.004463
2572,17,1,2,5,0.004463
715,3,15,2,2,0.004463
2302,14,2,4,3,0.004463
2301,14,2,3,3,0.004463
3237,28,2,8,13,0.004463
2304,14,2,5,15,0.004463
2529,16,2,8,12,0.004444
2312,14,3,3,2,0.004444
756,3,23,2,2,0.004444
2315,14,3,5,6,0.004444
864,4,8,3,2,0.004444
474,2,24,2,5,0.004444
757,3,23,2,6,0.004444
2651,18,1,1,1,0.004444
794,3,27,8,12,0.004444
704,3,14,2,3,0.004444
1700,9,1,2,10,0.004425
1165,6,3,2,6,0.004425
2288,14,1,3,2,0.004425
477,2,24,3,3,0.004425
85,1,5,5,3,0.004425
42,1,2,11,6,0.004425
2292,14,1,5,15,0.004425
1171,6,3,5,2,0.004425
783,3,27,1,11,0.004425
775,3,26,2,3,0.004425
3093,26,1,4,3,0.004406
641,3,7,5,6,0.004406
3070,25,1,4,11,0.004406
2285,14,1,2,3,0.004406
865,4,8,3,3,0.004406
2140,13,1,11,6,0.004406
787,3,27,2,10,0.004406
1330,7,3,1,4,0.004406
1329,7,3,1,1,0.004406
478,2,24,6,7,0.004387
2533,16,3,8,12,0.004387
2318,14,3,8,13,0.004387
473,2,24,2,3,0.004387
24,1,2,1,11,0.004387
23,1,2,1,3,0.004387
22,1,2,1,1,0.004387
716,3,15,2,3,0.004387
747,3,21,2,3,0.004387
2297,14,2,2,3,0.004387
3238,28,3,3,3,0.004368
2908,23,2,1,1,0.004368
2806,21,3,3,2,0.004368
2316,14,3,5,15,0.004368
2980,24,3,2,3,0.004368
2802,21,3,2,2,0.004368
2313,14,3,3,3,0.004368
1169,6,3,4,2,0.004368
2309,14,3,2,3,0.004368
2915,23,3,1,1,0.004368
3095,26,2,4,3,0.004368
41,1,2,8,13,0.004368
480,2,25,2,3,0.004368
27,1,2,2,5,0.004368
790,3,27,4,2,0.004368
2314,14,3,4,3,0.00435
2321,14,4,2,3,0.00435
2136,13,1,2,6,0.00435
3096,26,2,6,7,0.00435
1158,6,2,5,2,0.00433
766,3,24,8,12,0.00433
2135,13,1,2,2,0.00433
2918,23,3,2,7,0.00433
1144,6,1,4,3,0.00433
2985,24,3,6,7,0.00433
1174,6,3,8,13,0.00433
862,4,8,2,3,0.00433
763,3,24,3,2,0.00431
637,3,7,1,4,0.00431
638,3,7,1,11,0.00431
1156,6,2,4,2,0.00431
635,3,7,1,1,0.00431
1701,9,2,2,5,0.00431
3099,26,3,6,7,0.00429
772,3,25,5,6,0.00429
688,3,11,5,6,0.00429
634,3,6,8,13,0.00429
2919,23,3,6,2,0.00429
3240,28,3,8,13,0.00429
963,5,2,5,3,0.00429
958,5,2,4,2,0.00429
956,5,2,3,2,0.00429
1170,6,3,4,3,0.00429
1152,6,2,2,6,0.00429
636,3,7,1,3,0.004272
1933,11,2,5,6,0.004272
1934,11,2,6,2,0.004272
3098,26,3,4,3,0.004272
1445,8,1,1,11,0.004272
3179,27,2,4,6,0.004272
2912,23,2,6,2,0.004272
1444,8,1,1,3,0.004272
639,3,7,2,6,0.004272
2799,21,2,3,2,0.004272
3180,27,2,4,11,0.004272
631,3,6,5,3,0.004272
1941,11,3,5,6,0.004257
80,1,5,4,2,0.004257
1939,11,3,2,6,0.004257
1942,11,3,6,2,0.004257
2803,21,3,2,3,0.004257
77,1,5,2,5,0.004257
2808,21,3,6,7,0.004257
78,1,5,3,2,0.004257
1157,6,2,4,3,0.004257
1143,6,1,4,2,0.004257
1145,6,1,5,2,0.004257
1161,6,2,8,13,0.004257
2913,23,2,6,4,0.004257
629,3,6,4,13,0.004257
153,1,11,2,6,0.00424
760,3,24,2,3,0.00424
1139,6,1,2,6,0.00424
2911,23,2,2,7,0.00424
3071,25,2,4,11,0.00424
1443,8,1,1,1,0.00424
919,4,25,2,3,0.00422
2976,24,2,3,2,0.00422
530,3,1,5,3,0.00422
527,3,1,4,11,0.00422
2795,21,2,2,2,0.00422
528,3,1,4,13,0.00422
825,4,2,6,4,0.0042
630,3,6,5,2,0.0042
2798,21,2,2,10,0.0042
628,3,6,4,11,0.0042
1319,7,1,5,6,0.0042
1931,11,2,2,6,0.0042
687,3,11,2,6,0.004185
686,3,11,1,1,0.004185
2797,21,2,2,5,0.004185
1935,11,2,6,4,0.004185
2801,21,2,6,7,0.004185
773,3,25,8,12,0.004185
621,3,6,2,6,0.004185
1929,11,2,1,1,0.004185
2975,24,2,2,10,0.004166
2970,24,1,3,2,0.004166
616,3,6,1,3,0.004166
2907,23,1,2,2,0.004166
771,3,25,4,3,0.004166
966,5,2,8,13,0.004166
3183,27,2,8,13,0.004166
2796,21,2,2,3,0.00415
1937,11,3,1,1,0.00415
2967,24,1,2,3,0.00415
535,3,1,11,6,0.00415
1318,7,1,2,6,0.00415
769,3,25,3,2,0.00415
3182,27,2,8,12,0.00415
3185,27,3,4,6,0.00413
2974,24,2,2,5,0.00413
3186,27,3,4,13,0.00413
767,3,25,2,2,0.00413
529,3,1,5,2,0.00413
617,3,6,1,11,0.004116
49,1,3,2,5,0.004116
516,3,1,1,11,0.004116
56,1,3,4,11,0.004116
515,3,1,1,3,0.004116
57,1,3,4,13,0.004116
58,1,3,5,2,0.004116
59,1,3,5,3,0.004116
534,3,1,8,13,0.004116
514,3,1,1,1,0.004116
3184,27,3,4,3,0.004116
2793,21,1,3,2,0.004097
2973,24,2,2,3,0.004097
2978,24,2,6,7,0.004097
2789,21,1,2,2,0.00408
2790,21,1,2,3,0.00408
3188,27,3,8,13,0.004047
64,1,3,11,6,0.004047
74,1,4,4,3,0.004032
68,1,4,1,11,0.004032
67,1,4,1,3,0.004032
66,1,4,1,1,0.004032
3187,27,3,8,12,0.004032
45,1,3,1,3,0.004017
44,1,3,1,1,0.004017
278,2,1,5,2,0.004017
46,1,3,1,11,0.004017
63,1,3,8,13,0.004017
768,3,25,2,3,0.004017
277,2,1,4,13,0.004017
810,4,1,1,1,0.004
1928,11,1,5,6,0.003967
265,2,1,1,3,0.003937
264,2,1,1,1,0.003937
266,2,1,1,11,0.003937
1927,11,1,2,6,0.00392
1926,11,1,2,2,0.003906
71,1,4,2,5,0.003891
