,5rm2_A_fpocket,5rm2_B_fpocket,5rm2_A_p2rank,5rm2_B_p2rank,IoU
190,2,2,2,7,0.0155
232,2,6,2,3,0.01538
829,21,13,6,4,0.01538
789,17,11,14,13,0.01538
694,13,11,4,7,0.01538
474,6,3,10,12,0.01538
472,6,3,4,7,0.01538
849,22,23,1,5,0.01538
850,22,23,1,6,0.01538
512,7,11,7,13,0.01538
642,12,11,14,13,0.01538
225,2,4,5,3,0.01527
633,12,7,7,13,0.01515
621,12,1,4,13,0.01515
620,12,1,4,7,0.01515
826,19,28,5,3,0.01515
731,14,5,18,15,0.01515
564,10,2,5,1,0.01504
114,1,10,3,1,0.01504
3,1,1,3,1,0.01492
641,12,11,14,9,0.01492
468,6,1,10,10,0.01492
467,6,1,4,7,0.01492
763,16,1,10,12,0.01482
825,19,26,5,3,0.01471
634,12,7,7,14,0.01471
690,13,10,6,4,0.01471
702,13,13,6,1,0.01471
639,12,11,7,13,0.01471
480,6,6,16,12,0.01471
87,1,6,10,10,0.014595
479,6,6,16,10,0.014496
70,1,4,5,3,0.014496
828,21,11,6,4,0.014496
549,9,9,2,15,0.014496
827,21,7,6,4,0.014496
155,1,21,5,3,0.014496
2,1,1,2,7,0.014496
494,7,7,1,2,0.014496
717,14,3,2,1,0.014496
104,1,8,5,1,0.01439
97,1,8,3,1,0.01439
113,1,10,2,7,0.01439
143,1,15,5,1,0.01428
555,9,29,2,15,0.01428
584,10,5,18,15,0.01428
614,10,21,18,15,0.01428
798,17,14,14,13,0.01428
640,12,11,7,14,0.01428
905,26,19,5,3,0.01428
132,1,14,2,1,0.01428
821,19,16,3,3,0.01428
569,10,3,5,1,0.01418
903,26,16,3,3,0.014084
495,7,7,6,1,0.014084
705,13,21,6,4,0.014084
559,10,1,5,1,0.013985
545,9,4,2,15,0.013885
478,6,6,14,13,0.013885
79,1,6,2,3,0.013885
597,10,10,2,15,0.013885
47,1,3,3,7,0.013794
653,12,14,7,9,0.0137
533,7,21,6,4,0.0137
695,13,11,6,1,0.0137
745,14,10,5,1,0.0137
444,5,4,2,15,0.0137
448,5,5,2,15,0.0137
723,14,4,2,15,0.0137
505,7,10,6,4,0.01351
708,14,1,2,1,0.01351
750,14,14,2,15,0.01351
689,13,10,6,1,0.01351
747,14,10,18,15,0.01351
752,14,14,5,3,0.01351
757,14,21,18,15,0.01351
926,29,9,2,15,0.01351
610,10,19,5,3,0.01351
69,1,4,5,1,0.01342
220,2,3,13,2,0.01342
522,7,13,1,2,0.013336
688,13,10,4,7,0.013336
523,7,13,6,1,0.013336
52,1,3,4,13,0.013336
751,14,14,5,1,0.013336
219,2,3,13,1,0.013245
181,2,1,12,3,0.013245
619,10,28,5,3,0.01316
760,14,24,18,15,0.01316
618,10,24,18,15,0.01316
380,4,3,5,3,0.01316
211,2,3,3,1,0.01316
507,7,11,6,1,0.01316
506,7,11,1,2,0.01316
56,1,3,10,12,0.01307
369,4,1,5,3,0.01307
681,13,7,6,1,0.012985
173,2,1,3,1,0.012985
700,13,13,2,7,0.012985
374,4,2,5,1,0.012985
680,13,7,1,2,0.012985
744,14,10,2,15,0.012985
465,5,29,2,15,0.012985
917,29,4,2,1,0.012985
441,5,3,2,1,0.012985
925,29,6,18,15,0.012985
547,9,5,2,15,0.012985
729,14,5,2,15,0.012985
379,4,3,5,1,0.0129
73,1,5,2,1,0.0129
210,2,3,2,7,0.01274
504,7,10,6,1,0.01266
928,29,14,2,1,0.01266
434,4,29,2,1,0.01266
45,1,3,3,1,0.01258
458,5,10,11,1,0.0125
920,29,5,2,1,0.0125
914,28,10,5,3,0.0125
607,10,14,18,15,0.0125
172,2,1,2,7,0.0125
574,10,4,2,15,0.0125
408,4,9,2,15,0.0125
355,3,18,13,2,0.0125
375,4,2,5,3,0.01242
901,26,15,3,3,0.012344
820,19,10,5,3,0.012344
423,4,14,18,15,0.012344
44,1,3,2,7,0.01227
437,5,1,2,1,0.01219
734,14,6,5,1,0.01219
630,12,6,14,13,0.01219
577,10,4,11,1,0.01219
892,24,29,2,15,0.01219
923,29,6,2,1,0.01219
368,4,1,5,1,0.01219
455,5,9,2,15,0.01219
462,5,21,18,15,0.01219
311,3,1,13,3,0.01212
309,3,1,3,3,0.01212
913,28,8,5,3,0.01205
724,14,4,5,1,0.01205
741,14,8,11,1,0.01205
819,19,8,5,3,0.01205
906,26,21,5,3,0.01205
596,10,10,2,3,0.0119
929,29,21,2,15,0.0119
739,14,8,5,1,0.0119
416,4,10,18,15,0.0119
755,14,15,2,1,0.011765
924,29,6,2,15,0.011765
687,13,10,2,7,0.011765
362,3,23,1,6,0.011765
393,4,5,5,3,0.011765
580,10,5,2,15,0.011765
685,13,10,1,2,0.011765
725,14,4,5,3,0.01163
392,4,5,5,1,0.01163
683,13,8,1,2,0.01163
876,24,10,18,15,0.01163
888,24,24,5,1,0.01163
749,14,14,2,3,0.01163
746,14,10,5,3,0.01163
740,14,8,5,3,0.01163
594,10,8,11,1,0.01163
361,3,23,1,5,0.01163
684,13,8,2,1,0.0115
931,29,24,2,15,0.0115
412,4,10,2,15,0.0115
38,1,2,12,3,0.0115
583,10,5,11,1,0.01136
464,5,24,18,15,0.01136
276,2,10,13,1,0.01136
609,10,15,5,3,0.01136
415,4,10,11,1,0.01136
693,13,11,2,7,0.01136
402,4,6,18,15,0.01136
756,14,21,2,15,0.01136
30,1,2,3,1,0.0113
735,14,6,5,3,0.01124
613,10,21,5,3,0.01124
743,14,10,2,3,0.01124
679,13,6,2,1,0.01124
759,14,24,2,15,0.01124
384,4,4,2,3,0.01124
592,10,8,5,1,0.01111
881,24,16,5,3,0.01099
824,19,24,5,3,0.01099
882,24,19,5,3,0.01099
878,24,14,18,15,0.01099
29,1,2,2,7,0.010925
275,2,10,11,1,0.01087
758,14,24,2,1,0.01087
606,10,14,5,3,0.01087
608,10,15,5,1,0.01087
738,14,8,2,3,0.01087
884,24,21,5,1,0.01087
605,10,14,5,1,0.01087
589,10,6,11,1,0.01075
604,10,14,2,15,0.01075
419,4,14,2,15,0.01075
733,14,6,2,3,0.010635
863,24,4,5,3,0.010635
722,14,4,2,3,0.010635
582,10,5,5,3,0.010635
874,24,10,5,1,0.010635
551,9,21,2,15,0.010635
611,10,21,2,15,0.010635
353,3,17,6,4,0.010635
612,10,21,5,1,0.010635
581,10,5,5,1,0.01053
871,24,9,2,15,0.01053
862,24,4,5,1,0.01053
338,3,7,1,2,0.01053
617,10,24,5,3,0.01053
553,9,24,2,15,0.010414
398,4,6,2,15,0.010414
873,24,10,2,15,0.01031
350,3,12,6,4,0.01031
615,10,24,2,15,0.0102
277,2,10,13,3,0.0102
616,10,24,5,1,0.0102
300,2,18,13,2,0.0102
274,2,10,6,4,0.0102
867,24,5,5,3,0.0101
269,2,10,4,1,0.0101
573,10,4,2,3,0.01
706,13,24,2,1,0.01
259,2,8,12,10,0.01
866,24,5,5,1,0.01
273,2,10,6,1,0.01
591,10,8,2,3,0.0099
428,4,21,5,3,0.0099
365,3,26,6,4,0.0099
299,2,18,1,2,0.0099
875,24,10,5,3,0.0098
263,2,10,1,2,0.0098
427,4,21,5,1,0.0098
431,4,24,5,1,0.0098
461,5,21,2,15,0.0098
420,4,14,5,1,0.00971
254,2,8,4,7,0.00971
603,10,14,2,3,0.00971
432,4,24,5,3,0.00971
421,4,14,5,3,0.00971
347,3,10,1,2,0.00961
253,2,8,4,1,0.00952
252,2,8,3,10,0.00952
877,24,14,2,15,0.00952
411,4,10,2,3,0.00944
463,5,24,2,15,0.00944
344,3,8,13,1,0.00944
406,4,8,5,3,0.00944
879,24,15,5,1,0.00944
425,4,15,5,3,0.009346
424,4,15,5,1,0.009346
341,3,8,1,3,0.009346
405,4,8,5,1,0.009346
168,1,30,16,10,0.00926
289,2,13,6,4,0.00926
586,10,6,2,3,0.00917
249,2,8,2,7,0.009094
418,4,14,2,3,0.00901
288,2,13,6,1,0.00901
283,2,11,6,4,0.00893
404,4,8,2,3,0.00893
147,1,16,4,7,0.00885
151,1,16,16,10,0.00885
342,3,8,2,1,0.00885
301,2,19,5,3,0.00877
869,24,6,5,1,0.00877
150,1,16,16,3,0.00877
287,2,13,4,7,0.00877
146,1,16,4,3,0.00877
307,2,28,5,3,0.0087
282,2,11,6,1,0.0087
244,2,7,6,4,0.00862
397,4,6,2,3,0.00862
292,2,14,5,1,0.008545
321,3,2,13,1,0.008545
202,2,2,12,10,0.00848
23,1,1,16,7,0.00848
149,1,16,10,12,0.00848
17,1,1,12,10,0.00848
243,2,7,6,1,0.00848
152,1,19,3,3,0.00848
835,22,2,9,2,0.00848
325,3,3,1,3,0.0084
199,2,2,6,4,0.0084
295,2,15,2,1,0.0084
284,2,13,1,2,0.0084
127,1,12,14,7,0.00833
246,2,8,1,3,0.00833
870,24,6,5,3,0.00833
296,2,15,4,7,0.00833
160,1,26,3,3,0.00826
286,2,13,2,7,0.00826
162,1,28,5,3,0.00826
198,2,2,6,1,0.00826
165,1,28,16,3,0.00826
234,2,6,3,1,0.008194
815,19,1,3,3,0.008194
167,1,28,16,12,0.008194
910,28,1,5,3,0.008194
628,12,3,14,7,0.008194
677,13,3,4,7,0.00813
187,2,2,1,3,0.00813
20,1,1,14,7,0.00813
293,2,14,5,3,0.00813
236,2,6,4,1,0.008064
673,13,2,6,1,0.008064
233,2,6,2,7,0.008064
316,3,2,2,1,0.008064
193,2,2,3,10,0.008064
25,1,1,16,12,0.008064
291,2,14,2,3,0.008064
281,2,11,4,7,0.008064
194,2,2,4,1,0.008064
302,2,21,5,1,0.008
237,2,6,4,7,0.008
764,16,3,4,7,0.008
337,3,6,13,1,0.008
142,1,15,4,7,0.008
489,7,2,1,2,0.008
333,3,3,13,1,0.007935
141,1,15,4,3,0.007935
336,3,6,2,1,0.007935
897,26,1,3,3,0.007935
26,1,1,18,15,0.00787
305,2,24,5,1,0.00787
313,3,2,1,3,0.00787
108,1,8,12,10,0.007812
102,1,8,4,3,0.007812
100,1,8,3,10,0.007812
99,1,8,3,7,0.007812
492,7,3,1,2,0.007812
714,14,2,5,1,0.007812
278,2,11,1,2,0.007812
672,13,2,4,7,0.007812
490,7,2,6,1,0.007812
242,2,6,13,3,0.007812
235,2,6,3,3,0.007812
228,2,5,5,1,0.00775
134,1,14,3,3,0.00775
136,1,14,5,3,0.00775
138,1,14,16,3,0.00775
131,1,13,10,12,0.00769
899,26,3,3,3,0.00769
566,10,2,11,1,0.00769
762,16,1,4,7,0.00769
303,2,21,5,3,0.00769
223,2,4,2,3,0.00769
765,16,3,10,12,0.007633
328,3,3,2,1,0.007633
122,1,10,13,3,0.007633
280,2,11,2,7,0.007633
622,12,1,14,7,0.007576
306,2,24,5,3,0.007576
912,28,3,5,3,0.007576
116,1,10,4,1,0.00752
911,28,2,5,3,0.00752
627,12,3,6,4,0.00752
772,17,2,6,4,0.00752
7,1,1,4,1,0.00746
471,6,1,16,12,0.00746
470,6,1,16,10,0.00746
137,1,14,14,13,0.00746
817,19,2,5,3,0.00741
671,13,2,2,7,0.00741
473,6,3,10,10,0.00741
719,14,3,5,1,0.00741
229,2,5,5,3,0.007355
18,1,1,13,1,0.007355
715,14,2,5,3,0.007355
720,14,3,5,3,0.007355
668,13,1,4,7,0.007355
135,1,14,5,1,0.007355
121,1,10,13,1,0.007355
92,1,6,16,10,0.007298
93,1,6,16,12,0.007298
624,12,2,6,4,0.007298
773,17,3,6,4,0.007298
120,1,10,11,1,0.007298
713,14,2,2,3,0.007298
72,1,4,18,15,0.007298
711,14,1,5,3,0.007298
82,1,6,3,3,0.007248
133,1,14,2,3,0.007248
676,13,3,2,7,0.007195
101,1,8,4,1,0.007195
156,1,21,18,15,0.00714
109,1,8,13,1,0.00714
91,1,6,13,3,0.00714
15,1,1,11,1,0.007042
124,1,11,4,7,0.007042
83,1,6,4,1,0.006992
81,1,6,3,1,0.006992
129,1,13,2,7,0.006992
96,1,8,2,7,0.006992
77,1,5,18,15,0.006992
80,1,6,2,7,0.006992
718,14,3,2,3,0.006992
710,14,1,5,1,0.006943
75,1,5,5,3,0.006943
159,1,24,18,15,0.006943
860,24,3,18,15,0.006943
48,1,3,3,10,0.006897
58,1,3,12,3,0.006897
563,10,2,2,3,0.006897
571,10,3,11,1,0.006897
64,1,3,16,7,0.006897
65,1,3,16,10,0.006897
382,4,3,18,15,0.006897
63,1,3,16,3,0.006897
106,1,8,11,1,0.00685
709,14,1,2,3,0.00685
90,1,6,13,1,0.00685
558,10,1,2,3,0.0068
855,24,1,18,15,0.0068
561,10,1,11,1,0.0068
68,1,4,2,3,0.006756
71,1,4,11,1,0.00671
89,1,6,11,1,0.00671
61,1,3,14,7,0.00671
442,5,3,11,1,0.006668
182,2,1,12,10,0.006622
213,2,3,4,1,0.006622
175,2,1,3,10,0.006622
568,10,3,2,3,0.006622
55,1,3,10,10,0.00658
371,4,1,18,15,0.00658
218,2,3,12,3,0.006535
154,1,21,5,1,0.006535
183,2,1,13,1,0.006493
176,2,1,4,1,0.006493
667,13,1,2,7,0.006493
66,1,3,18,15,0.006493
207,2,3,1,3,0.006493
74,1,5,5,1,0.00645
856,24,2,5,1,0.00645
76,1,5,11,1,0.00645
858,24,3,5,1,0.00641
157,1,24,5,1,0.00641
381,4,3,11,1,0.00633
49,1,3,4,1,0.00629
217,2,3,11,1,0.00629
123,1,11,2,7,0.00625
857,24,2,5,3,0.00625
59,1,3,13,1,0.00625
438,5,1,11,1,0.00625
378,4,3,2,3,0.00625
373,4,2,2,3,0.00625
853,24,1,5,1,0.00621
180,2,1,11,1,0.006172
367,4,1,2,3,0.006134
184,2,1,13,2,0.00606
310,3,1,13,2,0.006023
308,3,1,1,2,0.006023
57,1,3,11,1,0.00599
370,4,1,11,1,0.00599
169,2,1,1,2,0.00595
39,1,2,12,10,0.00575
32,1,2,3,10,0.00575
40,1,2,13,1,0.00565
33,1,2,4,1,0.00565
37,1,2,11,1,0.005405
